X1,X2,X3,X4,X5,X6,classe
1,16,36,25,15,8,CA
-1,21,34,33,22,9,CA
-1,18,39,26,20,2,CA
1,21,34,28,21,9,CA
1,17,35,28,21,3,CA
5,17,33,25,21,8,CA
2,17,38,31,16,4,CA
0,22,36,29,16,2,CA
-1,19,39,28,20,1,CA
3,22,36,29,17,2,CA
6,23,36,32,19,1,CA
-2,17,39,33,17,8,CA
5,22,35,31,16,3,CA
-1,19,32,33,18,6,CA
1,20,39,33,20,6,CA
-1,24,36,27,18,8,CA
5,19,37,31,19,7,CA
5,16,35,27,14,5,CA
4,16,35,30,19,8,CA
6,17,34,27,20,5,CA
2,17,33,33,17,6,CA
-1,18,40,25,18,8,CA
0,16,33,30,22,4,CA
2,18,36,28,14,9,CA
-1,16,35,31,15,8,CA
-2,20,34,28,22,6,CA
6,24,32,27,14,1,CA
5,21,39,31,16,2,CA
1,16,39,26,17,5,CA
6,21,33,30,15,6,CA
5,22,37,32,20,9,CA
-2,19,40,26,14,4,CA
1,17,35,28,19,1,CA
3,21,32,27,16,9,CA
-1,17,34,28,17,2,CA
4,16,38,31,19,4,CA
-1,17,40,28,19,1,CA
-1,21,33,33,19,7,CA
3,19,36,27,14,5,CA
-1,16,38,29,17,9,CA
4,24,33,33,17,8,CA
3,18,40,33,14,2,CA
4,16,33,29,19,1,CA
4,19,35,29,21,9,CA
1,18,34,31,17,1,CA
4,18,39,29,17,8,CA
-2,18,40,30,21,7,CA
3,19,34,25,18,3,CA
5,22,32,30,15,6,CA
0,19,38,27,21,1,CA
5,18,35,28,22,2,CA
5,18,33,30,14,4,CA
4,22,35,33,15,8,CA
-1,23,32,29,16,8,CA
1,19,37,33,15,4,CA
2,18,36,32,16,5,CA
84,38,21,69,101,46,CB
89,38,14,69,103,53,CB
85,44,13,69,97,53,CB
84,36,20,72,95,47,CB
81,39,13,70,102,49,CB
80,41,21,74,103,46,CB
81,42,19,71,95,48,CB
85,42,17,70,104,44,CB
83,45,16,74,104,54,CB
84,39,14,72,105,54,CB
90,38,20,69,104,52,CB
84,46,20,70,95,48,CB
87,37,14,68,97,46,CB
81,43,14,72,102,48,CB
85,36,21,75,104,49,CB
82,40,22,71,99,46,CB
82,43,18,74,103,50,CB
88,39,19,72,98,46,CB
84,37,19,76,102,53,CB
83,44,22,72,102,44,CB
85,42,19,70,100,53,CB
90,41,19,70,103,48,CB
87,40,15,77,105,47,CB
89,42,12,73,96,46,CB
85,36,17,72,101,45,CB
87,36,21,72,101,49,CB
85,38,17,75,101,50,CB
87,41,18,73,97,52,CB
88,46,17,74,98,52,CB
84,41,13,69,104,46,CB
88,43,22,78,98,46,CB
81,36,18,71,99,49,CB
85,36,22,69,98,44,CB
84,44,12,76,104,51,CB
82,45,14,73,95,54,CB
90,44,21,78,99,54,CB
83,38,22,77,99,48,CB
80,39,21,78,103,46,CB
85,36,16,77,96,46,CB
89,37,22,76,104,44,CB
88,44,17,74,104,51,CB
87,37,12,69,105,53,CB
85,41,17,78,103,45,CB
84,41,22,68,95,52,CB
82,46,19,74,97,52,CB
88,36,16,71,102,47,CB
86,36,18,73,95,47,CB
81,41,14,76,96,54,CB
85,46,14,75,102,45,CB
86,41,22,74,104,45,CB
83,46,19,71,104,50,CB
